Epoch: [1][290/789]	Time 0.274 (0.279)	Data 0.000 (0.002)	reconst_logp -344.5929 (-376.1429)	kl 1424.9585 (2068.1542)	Loss 358.8425 (396.8245)
Epoch: [1][300/789]	Time 0.276 (0.279)	Data 0.000 (0.002)	reconst_logp -325.1227 (-375.4410)	kl 1620.0114 (2050.8453)	Loss 341.3228 (395.9495)
Epoch: [1][310/789]	Time 0.276 (0.278)	Data 0.000 (0.002)	reconst_logp -432.8592 (-375.7268)	kl 1500.9998 (2082.0160)	Loss 447.8692 (396.5470)
Epoch: [1][320/789]	Time 0.275 (0.278)	Data 0.000 (0.002)	reconst_logp -333.2736 (-374.1822)	kl 1525.4014 (2063.5320)	Loss 348.5276 (394.8175)
Epoch: [1][330/789]	Time 0.276 (0.278)	Data 0.000 (0.002)	reconst_logp -316.0959 (-372.7789)	kl 1384.9011 (2045.9396)	Loss 329.9449 (393.2382)
Epoch: [1][340/789]	Time 0.277 (0.278)	Data 0.000 (0.002)	reconst_logp -355.4146 (-371.0894)	kl 1416.2942 (2029.9164)	Loss 369.5775 (391.3886)
Epoch: [1][350/789]	Time 0.279 (0.278)	Data 0.000 (0.002)	reconst_logp -311.6329 (-369.7501)	kl 1411.5695 (2014.9281)	Loss 325.7486 (389.8994)
Epoch: [1][360/789]	Time 0.276 (0.278)	Data 0.000 (0.001)	reconst_logp -325.6861 (-368.8639)	kl 1549.6646 (1999.7879)	Loss 341.1828 (388.8617)
Epoch: [1][370/789]	Time 0.279 (0.278)	Data 0.000 (0.001)	reconst_logp -305.0780 (-367.9148)	kl 1578.6573 (1985.7975)	Loss 320.8645 (387.7728)
Epoch: [1][380/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -430.1202 (-367.3799)	kl 1484.7214 (1971.7707)	Loss 444.9675 (387.0976)
Epoch: [1][390/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -365.6512 (-366.3962)	kl 1469.4182 (1961.0730)	Loss 380.3454 (386.0069)
Epoch: [1][400/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -353.4547 (-365.3762)	kl 1427.8241 (1948.5743)	Loss 367.7329 (384.8619)
Epoch: [1][410/789]	Time 0.276 (0.278)	Data 0.000 (0.001)	reconst_logp -282.9025 (-364.4646)	kl 1568.0267 (1937.1485)	Loss 298.5828 (383.8360)
Epoch: [1][420/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -255.9708 (-362.8025)	kl 1415.7136 (1926.9110)	Loss 270.1279 (382.0716)
Epoch: [1][430/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -326.3887 (-361.6489)	kl 1524.5750 (1916.2373)	Loss 341.6345 (380.8113)
Epoch: [1][440/789]	Time 0.278 (0.278)	Data 0.000 (0.001)	reconst_logp -257.7239 (-360.2622)	kl 1419.1370 (1905.4559)	Loss 271.9153 (379.3168)
Epoch: [1][450/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -303.0132 (-359.5570)	kl 1632.0826 (1896.2509)	Loss 319.3340 (378.5195)
Epoch: [1][460/789]	Time 0.281 (0.278)	Data 0.000 (0.001)	reconst_logp -296.7348 (-358.7027)	kl 1476.3203 (1887.2301)	Loss 311.4980 (377.5750)
Epoch: [1][470/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -305.8734 (-358.6605)	kl 1418.3328 (1880.5252)	Loss 320.0568 (377.4658)
Epoch: [1][480/789]	Time 0.280 (0.278)	Data 0.000 (0.001)	reconst_logp -309.9383 (-357.9669)	kl 1551.9197 (1872.7833)	Loss 325.4575 (376.6948)
Epoch: [1][490/789]	Time 0.277 (0.278)	Data 0.000 (0.001)	reconst_logp -271.8846 (-357.0093)	kl 1616.0740 (1865.8485)	Loss 288.0453 (375.6678)
Epoch: [1][500/789]	Time 0.278 (0.278)	Data 0.000 (0.001)	reconst_logp -323.0209 (-356.3379)	kl 1510.6451 (1859.6664)	Loss 338.1273 (374.9346)
Epoch: [1][510/789]	Time 0.278 (0.278)	Data 0.000 (0.001)	reconst_logp -268.6845 (-355.2177)	kl 1627.6504 (1852.4917)	Loss 284.9610 (373.7426)
Epoch: [1][520/789]	Time 0.280 (0.278)	Data 0.000 (0.001)	reconst_logp -265.8652 (-354.5914)	kl 1408.4849 (1845.4255)	Loss 279.9501 (373.0456)
Epoch: [1][530/789]	Time 0.274 (0.278)	Data 0.000 (0.001)	reconst_logp -327.0403 (-353.6656)	kl 1506.8572 (1838.8438)	Loss 342.1089 (372.0540)
Epoch: [1][540/789]	Time 0.275 (0.278)	Data 0.000 (0.001)	reconst_logp -342.7237 (-353.7135)	kl 1408.1929 (1833.1862)	Loss 356.8057 (372.0453)
Epoch: [1][550/789]	Time 0.280 (0.278)	Data 0.000 (0.001)	reconst_logp -292.4399 (-353.6986)	kl 1411.4033 (1836.2418)	Loss 306.5540 (372.0610)
